No.,Time,Source,Destination,Protocol,Length,goEID,Cmd,llno,parameter,allData,item_1,item_2,item_3,item_4,bit-str1,bit-str2,bit-str3,bit-str4
3,0.139853,SiemensE_00:69:56,Iec-Tc57_01:00:00,GOOSE,191,TIED2,CTRL,LLN0,Control_DataSet,8,TRUE,TRUE,TRUE,TRUE,0,0,0,0
7,0.273622,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
11,0.772126,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
12,0.773693,ipcas_f8:c4:fd,Iec-Tc57_01:00:03,GOOSE,167,TIED1,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
13,0.773694,ipcas_f8:c4:fd,Iec-Tc57_01:00:07,GOOSE,173,TIED1,CTRL,LLN0,Control_DataSet_1,2,TRUE,,,,0,,,
15,1.17926,SiemensE_00:32:0c,Iec-Tc57_01:00:05,GOOSE,167,GIED2,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
17,1.501799,ipcas_f8:c4:d8,Iec-Tc57_01:00:06,GOOSE,167,GIED1,PROT,LLN0,Control_DataSet,2,FALSE,,,,0,,,
18,1.503405,SiemensE_00:69:56,Iec-Tc57_01:00:04,GOOSE,173,TIED2,CTRL,LLN0,Control_DataSet_2,2,FALSE,,,,0,,,
19,1.504412,SiemensE_00:69:56,Iec-Tc57_01:00:08,GOOSE,181,TIED2,CTRL,LLN0,Control_DataSet_1,4,TRUE,FALSE,,,0,0,,
20,1.755165,SiemensE_00:32:02,Iec-Tc57_01:00:02,GOOSE,175,TIED4,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
21,1.755165,SiemensE_00:32:02,Iec-Tc57_01:00:01,GOOSE,173,TIED4,CTRL,LLN0,Control_DataSet_1,2,FALSE,,,,0,,,
22,1.755166,SiemensE_00:32:02,Iec-Tc57_01:00:09,GOOSE,181,TIED4,CTRL,LLN0,Control_DataSet_2,4,TRUE,FALSE,,,0,0,,
23,1.768351,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
26,2.138152,SiemensE_00:69:56,Iec-Tc57_01:00:00,GOOSE,191,TIED2,CTRL,LLN0,Control_DataSet,8,TRUE,TRUE,TRUE,TRUE,0,0,0,0
30,2.267218,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
32,2.765132,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
33,2.773909,ipcas_f8:c4:fd,Iec-Tc57_01:00:03,GOOSE,167,TIED1,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
34,2.773913,ipcas_f8:c4:fd,Iec-Tc57_01:00:07,GOOSE,173,TIED1,CTRL,LLN0,Control_DataSet_1,2,TRUE,,,,0,,,
35,3.17757,SiemensE_00:32:0c,Iec-Tc57_01:00:05,GOOSE,167,GIED2,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
37,3.312366,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
39,3.499965,ipcas_f8:c4:d8,Iec-Tc57_01:00:06,GOOSE,167,GIED1,PROT,LLN0,Control_DataSet,2,FALSE,,,,0,,,
40,3.503178,SiemensE_00:69:56,Iec-Tc57_01:00:04,GOOSE,173,TIED2,CTRL,LLN0,Control_DataSet_2,2,FALSE,,,,0,,,
41,3.503179,SiemensE_00:69:56,Iec-Tc57_01:00:08,GOOSE,181,TIED2,CTRL,LLN0,Control_DataSet_1,4,TRUE,FALSE,,,0,0,,
45,3.752794,SiemensE_00:32:02,Iec-Tc57_01:00:02,GOOSE,175,TIED4,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
46,3.754388,SiemensE_00:32:02,Iec-Tc57_01:00:01,GOOSE,173,TIED4,CTRL,LLN0,Control_DataSet_1,2,FALSE,,,,0,,,
47,3.754389,SiemensE_00:32:02,Iec-Tc57_01:00:09,GOOSE,181,TIED4,CTRL,LLN0,Control_DataSet_2,4,TRUE,FALSE,,,0,0,,
48,3.761652,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
49,4.137457,SiemensE_00:69:56,Iec-Tc57_01:00:00,GOOSE,191,TIED2,CTRL,LLN0,Control_DataSet,8,TRUE,TRUE,TRUE,TRUE,0,0,0,0
53,4.261198,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
56,4.7593,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
57,4.770572,ipcas_f8:c4:fd,Iec-Tc57_01:00:03,GOOSE,167,TIED1,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
58,4.770574,ipcas_f8:c4:fd,Iec-Tc57_01:00:07,GOOSE,173,TIED1,CTRL,LLN0,Control_DataSet_1,2,TRUE,,,,0,,,
59,5.175659,SiemensE_00:32:0c,Iec-Tc57_01:00:05,GOOSE,167,GIED2,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
63,5.25725,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
65,5.498333,ipcas_f8:c4:d8,Iec-Tc57_01:00:06,GOOSE,167,GIED1,PROT,LLN0,Control_DataSet,2,FALSE,,,,0,,,
66,5.501039,SiemensE_00:69:56,Iec-Tc57_01:00:04,GOOSE,173,TIED2,CTRL,LLN0,Control_DataSet_2,2,FALSE,,,,0,,,
67,5.501874,SiemensE_00:69:56,Iec-Tc57_01:00:08,GOOSE,181,TIED2,CTRL,LLN0,Control_DataSet_1,4,TRUE,FALSE,,,0,0,,
70,5.751753,SiemensE_00:32:02,Iec-Tc57_01:00:02,GOOSE,175,TIED4,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
71,5.751754,SiemensE_00:32:02,Iec-Tc57_01:00:01,GOOSE,173,TIED4,CTRL,LLN0,Control_DataSet_1,2,FALSE,,,,0,,,
72,5.751755,SiemensE_00:32:02,Iec-Tc57_01:00:09,GOOSE,181,TIED4,CTRL,LLN0,Control_DataSet_2,4,TRUE,FALSE,,,0,0,,
73,5.755603,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
158,6.138835,SiemensE_00:69:56,Iec-Tc57_01:00:00,GOOSE,191,TIED2,CTRL,LLN0,Control_DataSet,8,TRUE,TRUE,TRUE,TRUE,0,0,0,0
184,6.255031,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
187,6.752628,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
188,6.768615,ipcas_f8:c4:fd,Iec-Tc57_01:00:03,GOOSE,167,TIED1,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
189,6.768616,ipcas_f8:c4:fd,Iec-Tc57_01:00:07,GOOSE,173,TIED1,CTRL,LLN0,Control_DataSet_1,2,TRUE,,,,0,,,
191,7.174138,SiemensE_00:32:0c,Iec-Tc57_01:00:05,GOOSE,167,GIED2,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
194,7.250628,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
196,7.496572,ipcas_f8:c4:d8,Iec-Tc57_01:00:06,GOOSE,167,GIED1,PROT,LLN0,Control_DataSet,2,FALSE,,,,0,,,
197,7.499867,SiemensE_00:69:56,Iec-Tc57_01:00:04,GOOSE,173,TIED2,CTRL,LLN0,Control_DataSet_2,2,FALSE,,,,0,,,
198,7.499869,SiemensE_00:69:56,Iec-Tc57_01:00:08,GOOSE,181,TIED2,CTRL,LLN0,Control_DataSet_1,4,TRUE,FALSE,,,0,0,,
199,7.749323,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
200,7.749325,SiemensE_00:32:02,Iec-Tc57_01:00:02,GOOSE,175,TIED4,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
201,7.750559,SiemensE_00:32:02,Iec-Tc57_01:00:01,GOOSE,173,TIED4,CTRL,LLN0,Control_DataSet_1,2,FALSE,,,,0,,,
202,7.75056,SiemensE_00:32:02,Iec-Tc57_01:00:09,GOOSE,181,TIED4,CTRL,LLN0,Control_DataSet_2,4,TRUE,FALSE,,,0,0,,
204,8.134923,SiemensE_00:69:56,Iec-Tc57_01:00:00,GOOSE,191,TIED2,CTRL,LLN0,Control_DataSet,8,TRUE,TRUE,TRUE,TRUE,0,0,0,0
207,8.247904,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
211,8.746002,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
212,8.767096,ipcas_f8:c4:fd,Iec-Tc57_01:00:03,GOOSE,167,TIED1,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
213,8.767097,ipcas_f8:c4:fd,Iec-Tc57_01:00:07,GOOSE,173,TIED1,CTRL,LLN0,Control_DataSet_1,2,TRUE,,,,0,,,
214,9.172402,SiemensE_00:32:0c,Iec-Tc57_01:00:05,GOOSE,167,GIED2,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
217,9.243854,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
220,9.494899,ipcas_f8:c4:d8,Iec-Tc57_01:00:06,GOOSE,167,GIED1,PROT,LLN0,Control_DataSet,2,FALSE,,,,0,,,
221,9.497977,SiemensE_00:69:56,Iec-Tc57_01:00:04,GOOSE,173,TIED2,CTRL,LLN0,Control_DataSet_2,2,FALSE,,,,0,,,
222,9.498826,SiemensE_00:69:56,Iec-Tc57_01:00:08,GOOSE,181,TIED2,CTRL,LLN0,Control_DataSet_1,4,TRUE,FALSE,,,0,0,,
225,9.742813,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
226,9.749261,SiemensE_00:32:02,Iec-Tc57_01:00:02,GOOSE,175,TIED4,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
227,9.750997,SiemensE_00:32:02,Iec-Tc57_01:00:01,GOOSE,173,TIED4,CTRL,LLN0,Control_DataSet_1,2,FALSE,,,,0,,,
228,9.750999,SiemensE_00:32:02,Iec-Tc57_01:00:09,GOOSE,181,TIED4,CTRL,LLN0,Control_DataSet_2,4,TRUE,FALSE,,,0,0,,
231,10.133575,SiemensE_00:69:56,Iec-Tc57_01:00:00,GOOSE,191,TIED2,CTRL,LLN0,Control_DataSet,8,TRUE,TRUE,TRUE,TRUE,0,0,0,0
235,10.241443,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
239,10.738973,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
240,10.766145,ipcas_f8:c4:fd,Iec-Tc57_01:00:03,GOOSE,167,TIED1,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
241,10.766147,ipcas_f8:c4:fd,Iec-Tc57_01:00:07,GOOSE,173,TIED1,CTRL,LLN0,Control_DataSet_1,2,TRUE,,,,0,,,
244,11.170352,SiemensE_00:32:0c,Iec-Tc57_01:00:05,GOOSE,167,GIED2,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
247,11.238314,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
249,11.493171,ipcas_f8:c4:d8,Iec-Tc57_01:00:06,GOOSE,167,GIED1,PROT,LLN0,Control_DataSet,2,FALSE,,,,0,,,
250,11.497072,SiemensE_00:69:56,Iec-Tc57_01:00:04,GOOSE,173,TIED2,CTRL,LLN0,Control_DataSet_2,2,FALSE,,,,0,,,
251,11.497073,SiemensE_00:69:56,Iec-Tc57_01:00:08,GOOSE,181,TIED2,CTRL,LLN0,Control_DataSet_1,4,TRUE,FALSE,,,0,0,,
253,11.736246,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
254,11.747266,SiemensE_00:32:02,Iec-Tc57_01:00:02,GOOSE,175,TIED4,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
255,11.748068,SiemensE_00:32:02,Iec-Tc57_01:00:01,GOOSE,173,TIED4,CTRL,LLN0,Control_DataSet_1,2,FALSE,,,,0,,,
256,11.74807,SiemensE_00:32:02,Iec-Tc57_01:00:09,GOOSE,181,TIED4,CTRL,LLN0,Control_DataSet_2,4,TRUE,FALSE,,,0,0,,
265,12.1325,SiemensE_00:69:56,Iec-Tc57_01:00:00,GOOSE,191,TIED2,CTRL,LLN0,Control_DataSet,8,TRUE,TRUE,TRUE,TRUE,0,0,0,0
268,12.23463,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
272,12.732967,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
273,12.763333,ipcas_f8:c4:fd,Iec-Tc57_01:00:03,GOOSE,167,TIED1,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
274,12.764557,ipcas_f8:c4:fd,Iec-Tc57_01:00:07,GOOSE,173,TIED1,CTRL,LLN0,Control_DataSet_1,2,TRUE,,,,0,,,
275,13.168912,SiemensE_00:32:0c,Iec-Tc57_01:00:05,GOOSE,167,GIED2,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
280,13.231692,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
285,13.491009,ipcas_f8:c4:d8,Iec-Tc57_01:00:06,GOOSE,167,GIED1,PROT,LLN0,Control_DataSet,2,FALSE,,,,0,,,
286,13.495443,SiemensE_00:69:56,Iec-Tc57_01:00:04,GOOSE,173,TIED2,CTRL,LLN0,Control_DataSet_2,2,FALSE,,,,0,,,
287,13.496273,SiemensE_00:69:56,Iec-Tc57_01:00:08,GOOSE,181,TIED2,CTRL,LLN0,Control_DataSet_1,4,TRUE,FALSE,,,0,0,,
288,13.730751,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
289,13.74561,SiemensE_00:32:02,Iec-Tc57_01:00:02,GOOSE,175,TIED4,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
290,13.745612,SiemensE_00:32:02,Iec-Tc57_01:00:01,GOOSE,173,TIED4,CTRL,LLN0,Control_DataSet_1,2,FALSE,,,,0,,,
291,13.745613,SiemensE_00:32:02,Iec-Tc57_01:00:09,GOOSE,181,TIED4,CTRL,LLN0,Control_DataSet_2,4,TRUE,FALSE,,,0,0,,
296,14.131589,SiemensE_00:69:56,Iec-Tc57_01:00:00,GOOSE,191,TIED2,CTRL,LLN0,Control_DataSet,8,TRUE,TRUE,TRUE,TRUE,0,0,0,0
298,14.227167,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
303,14.726627,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
304,14.762075,ipcas_f8:c4:fd,Iec-Tc57_01:00:03,GOOSE,167,TIED1,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
305,14.762805,ipcas_f8:c4:fd,Iec-Tc57_01:00:07,GOOSE,173,TIED1,CTRL,LLN0,Control_DataSet_1,2,TRUE,,,,0,,,
307,15.16723,SiemensE_00:32:0c,Iec-Tc57_01:00:05,GOOSE,167,GIED2,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
309,15.224205,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
312,15.489678,ipcas_f8:c4:d8,Iec-Tc57_01:00:06,GOOSE,167,GIED1,PROT,LLN0,Control_DataSet,2,FALSE,,,,0,,,
315,15.496508,SiemensE_00:69:56,Iec-Tc57_01:00:04,GOOSE,173,TIED2,CTRL,LLN0,Control_DataSet_2,2,FALSE,,,,0,,,
316,15.496509,SiemensE_00:69:56,Iec-Tc57_01:00:08,GOOSE,181,TIED2,CTRL,LLN0,Control_DataSet_1,4,TRUE,FALSE,,,0,0,,
319,15.722364,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
320,15.744403,SiemensE_00:32:02,Iec-Tc57_01:00:02,GOOSE,175,TIED4,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
