No.,Time,Source,Destination,Protocol,Length,confirmedServiceRequest1,confirmedServiceRequest2,specificationWithResult1,SpecificationWithResult2,Info1,Info2,Info3,Info4
37694,2542.935547,172.18.5.60,172.16.4.12,MMS,272,,,,,initiate-RequestPDU,,,
37695,2542.940058,172.18.5.60,172.16.4.13,MMS,272,,,,,initiate-RequestPDU,,,
37696,2542.961808,172.18.5.60,172.16.4.12,MMS,96,getNameList,,,,1,confirmed-RequestPDU,,
37697,2542.962997,172.18.5.60,172.16.4.13,MMS,96,getNameList,,,,1,confirmed-RequestPDU,,
37698,2542.984484,172.18.5.60,172.16.4.12,MMS,105,getNameList,,,,2,confirmed-RequestPDU,,
37699,2542.984485,172.18.5.60,172.16.4.13,MMS,105,getNameList,,,,2,confirmed-RequestPDU,,
37700,2542.994342,172.18.5.60,172.16.4.12,MMS,103,getNameList,,,,3,confirmed-RequestPDU,,
37701,2542.994344,172.18.5.60,172.16.4.13,MMS,103,getNameList,,,,3,confirmed-RequestPDU,,
37703,2543.006061,172.18.5.60,172.16.4.13,MMS,105,getNameList,,,,4,confirmed-RequestPDU,,
37704,2543.006062,172.18.5.60,172.16.4.12,MMS,105,getNameList,,,,4,confirmed-RequestPDU,,
37705,2543.015407,172.18.5.60,172.16.4.13,MMS,105,getNameList,,,,5,confirmed-RequestPDU,,
37706,2543.017124,172.18.5.60,172.16.4.12,MMS,105,getNameList,,,,5,confirmed-RequestPDU,,
37707,2543.038247,172.18.5.60,172.16.4.13,MMS,118,getNamedVariableListAttributes,,,,6,confirmed-RequestPDU,SIED3PROT,LLN0$Measurement
37711,2543.075904,172.18.5.60,172.16.4.11,MMS,272,,,,,initiate-RequestPDU,,,
37712,2543.079049,172.18.5.60,172.16.4.12,MMS,118,getNamedVariableListAttributes,,,,6,confirmed-RequestPDU,SIED2PROT,LLN0$Measurement
37713,2543.08973,172.18.5.60,172.16.4.13,MMS,117,getNamedVariableListAttributes,,,,7,confirmed-RequestPDU,SIED3PROT,LLN0$Protection
37714,2543.089732,172.18.5.60,172.16.4.12,MMS,117,getNamedVariableListAttributes,,,,7,confirmed-RequestPDU,SIED2PROT,LLN0$Protection
37715,2543.099127,172.18.5.60,172.16.4.11,MMS,96,getNameList,,,,1,confirmed-RequestPDU,,
